name,price_category,flash_information,tagline,description,is_active,annees-80,variete,tribute,country,chanson,musette,musique-de-film,jeune-public,a-cappella,noel,rock-n-roll,comptines,disco,musique-traditionnelle,conte,jazz,pop-anglaise,fete-communale,mariage,soiree-privee,spectacle-jeune-public,concert,conte-musical,mediatheque,marche-de-noel,cocktail-vin-d-honneur,bal,animation-de-rue-terrasse
La machine à guincher,entre 1000€ et 2000€,,Une rencontre le temps d'un bal populaire...,"La Machine à Guincher vous emmène à une époque pas si lointaine ou les synthétiseurs et autres séquences enregistrées n'éxistaient pas. Ses quatre musiciens se sont mis au défis de vous faire danser, sur une musique vivante, et dans la bonne humeur, mais sans  la technologie actuelle. Ils reprennent à leur sauce les classiques du bal populaire : musette, rétro, musiques latines, rock'n roll, variété, disco ou encore jazz, bossa nova et rumba si la musique doit se glisser derrière les conversations d'une garden party...
Nous vous proposons plusieurs formules et répertoires pour s'adapter au mieux à votre évènement : bal, guinguette rétro, concert chanson française, accompagnement de receptions, cocktails, vins d'honneur...",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1
Flavie et son orgue de Barbarie,- de 1000€,,L'ambiance simple et authentique des rues d'autrefois...,"Retrouvez l'ambiance des rues de Paris à l'époque de la môme Piaf ! Flavie chante accompagnée de l'ancêtre du jukebox et de Deezer : son orgue de barbarie...
Avec un répertoire de chansons françaises connues de tous ou à découvrir, elle enchantera aussi bien vos fêtes de famille, réceptions, et vins d'honneur que vos foires et autres fêtes foraines.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1
Loÿs Brossy,- de 1000€,,Plutôt Spritz ou Cuba Libre ?,"Loÿs Brossy a plusieurs cordes à son arc pour accompagner vos cocktails de sa musique 100% live. Accompagné d’un piano boogie, pop ou jazzy, ou avec une guitare rythmique, vous aurez toujours le plaisir d’entendre sa voix tantôt profonde, tantôt aérienne, puissante ou douce, …
Côté répertoire : plutôt pop anglaise ? rock’n roll ? music hall ? ou plutôt chanson française ? Un mélange de tout cela peut faire un succulent cocktail musical pour vos cocktails/apéritifs !",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1
Mythes et Légendes de la Terre du Milieu (MLTM),- de 1000€,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Le Père Noël et son Orchestre,entre 1000€ et 2000€,,,,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Chalendas d’Oc,+ de 2000€,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Chalendas d’Oc (version réduite),- de 1000€,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Ballades musicales,- de 1000€,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Joan las pieras,- de 1000€,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Trio Anouman,- de 1000€,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1
